Optimising function: ackley (dim=100, swarm size=30)
Step 9900,    w=0.30,    min_err=,    1.00198e+01
Step 9950,    w=0.30,    min_err=,    1.00198e+01
Step 10000,    w=0.30,    min_err=,    1.00198e+01
DEMO : 3130.000000ms 
Optimising function: ackley (dim=100, swarm size=30)
Step 0,    w=0.73,    min_err=,    1.97732e+01
Step 50,    w=0.73,    min_err=,    1.92829e+01
Step 100,    w=0.72,    min_err=,    1.89320e+01
Step 150,    w=0.72,    min_err=,    1.87645e+01
Step 200,    w=0.72,    min_err=,    1.83481e+01
Step 250,    w=0.72,    min_err=,    1.80495e+01
Step 300,    w=0.71,    min_err=,    1.77483e+01
Step 350,    w=0.71,    min_err=,    1.76167e+01
Step 400,    w=0.71,    min_err=,    1.75907e+01
Step 450,    w=0.70,    min_err=,    1.74257e+01
Step 500,    w=0.70,    min_err=,    1.72597e+01
Step 550,    w=0.70,    min_err=,    1.71122e+01
Step 600,    w=0.70,    min_err=,    1.69833e+01
Step 650,    w=0.69,    min_err=,    1.69085e+01
Step 700,    w=0.69,    min_err=,    1.66648e+01
Step 750,    w=0.69,    min_err=,    1.65069e+01
Step 800,    w=0.68,    min_err=,    1.63656e+01
Step 850,    w=0.68,    min_err=,    1.61926e+01
Step 900,    w=0.68,    min_err=,    1.58810e+01
Step 950,    w=0.68,    min_err=,    1.56788e+01
Step 1000,    w=0.67,    min_err=,    1.55764e+01
Step 1050,    w=0.67,    min_err=,    1.52680e+01
Step 1100,    w=0.67,    min_err=,    1.52680e+01
Step 1150,    w=0.66,    min_err=,    1.50617e+01
Step 1200,    w=0.66,    min_err=,    1.50617e+01
Step 1250,    w=0.66,    min_err=,    1.47277e+01
Step 1300,    w=0.66,    min_err=,    1.46887e+01
Step 1350,    w=0.65,    min_err=,    1.44104e+01
Step 1400,    w=0.65,    min_err=,    1.41757e+01
Step 1450,    w=0.65,    min_err=,    1.41272e+01
Step 1500,    w=0.64,    min_err=,    1.40378e+01
Step 1550,    w=0.64,    min_err=,    1.39721e+01
Step 1600,    w=0.64,    min_err=,    1.38072e+01
Step 1650,    w=0.64,    min_err=,    1.35969e+01
Step 1700,    w=0.63,    min_err=,    1.35788e+01
Step 1750,    w=0.63,    min_err=,    1.34557e+01
Step 1800,    w=0.63,    min_err=,    1.33122e+01
Step 1850,    w=0.62,    min_err=,    1.32642e+01
Step 1900,    w=0.62,    min_err=,    1.30956e+01
Step 1950,    w=0.62,    min_err=,    1.29580e+01
Step 2000,    w=0.62,    min_err=,    1.29009e+01
Step 2050,    w=0.61,    min_err=,    1.28233e+01
Step 2100,    w=0.61,    min_err=,    1.27497e+01
Step 2150,    w=0.61,    min_err=,    1.25651e+01
Step 2200,    w=0.60,    min_err=,    1.24070e+01
Step 2250,    w=0.60,    min_err=,    1.23660e+01
Step 2300,    w=0.60,    min_err=,    1.23294e+01
Step 2350,    w=0.60,    min_err=,    1.21674e+01
Step 2400,    w=0.59,    min_err=,    1.20538e+01
Step 2450,    w=0.59,    min_err=,    1.19384e+01
Step 2500,    w=0.59,    min_err=,    1.19189e+01
Step 2550,    w=0.58,    min_err=,    1.18812e+01
